nitwits;propagators;suppressors
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
0,999;0,001;0
